ISO,Full Name,No. Words
af,Afrikaans,883464
am,Amharic,308109
ar,Arabic,2003155
az,Azerbaijani,2002146
be,Belarusian,1715582
bg,Bulgarian,2001391
bn,Bengali,1471709
bs,Bosnian,1124938
ca,Catalan,2001538
ceb,Cebuano,2006001
co,Corsican,108035
cs,Czech,2001203
cy,Welsh,502006
da,Danish,2000654
de,German,2000507
el,Greek,2001704
en,English,2000004
eo,Esperanto,2001575
es,Spanish,2001183
et,Estonian,2001125
eu,Basque,1828013
fa,Persian,2003533
fi,Finnish,2000841
fr,French,2001517
fy,West Frisian,530054
ga,Irish,321249
gd,Scottish Gaelic,150694
gl,Galician,1336256
gu,Gujarati,557270
he,Hebrew,2001984
hi,Hindi,1879196
hr,Croatian,2001570
ht,Haitian,118302
hu,Hungarian,2000975
hy,Armenian,2001329
id,Indonesian,2002221
is,Icelandic,945214
it,Italian,2001137
ja,Japanese,2003306
jv,Javanese,518634
ka,Georgian,1567232
kk,Kazakh,1981562
km,Khmer,247498
kn,Kannada,1747421
ko,Korean,2002600
ku,Kurdish (Kurmanji),395645
ky,Kirghiz,751902
la,Latin,1088139
lb,Luxembourgish,642504
lt,Lithuanian,2001306
lv,Latvian,1642923
mg,Malagasy,415050
mk,Macedonian,1356402
ml,Malayalam,2002920
mn,Mongolian,608598
mr,Marathi,848549
ms,Malay,1213397
mt,Maltese,204630
my,Burmese,339628
ne,Nepali,580582
nl,Dutch,2000721
no,Norwegian (Bokmål),2000876
pa,Eastern Punjabi,403997
pl,Polish,2001460
ps,Pashto,300927
pt,Portuguese,2001078
ro,Romanian,2001501
ru,Russian,2001317
sd,Sindhi,139063
si,Sinhalese,812356
sk,Slovak,2001221
sl,Slovenian,1992272
so,Somali,177405
sq,Albanian,1169697
sr,Serbian,2002395
su,Sundanese,327533
sv,Swedish,2000980
sw,Swahili,391312
ta,Tamil,2002514
te,Telugu,1880585
tg,Tajik,508617
th,Thai,2006540
tl,Tagalog,716272
tr,Turkish,2002489
uk,Ukrainian,2001261
ur,Urdu,1157969
uz,Uzbek,833860
vi,Vietnamese,2008605
yi,Yiddish,205727
yo,Yoruba,156764
zh,Chinese,2001799
